machine,matrix_name,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
intel-Desktop,Fault_639,71.9996,73.6324,70.15350000000001,82.7921,94.02965,93.98055,77.8601,73.13730000000001
intel-Desktop,Flan_1565,113.41,144.66250000000002,107.6795,149.7335,159.6295,151.629,154.2745,148.988
intel-Desktop,G2_circuit,15.20135,17.3277,15.57715,17.9129,17.045,18.27435,12.9901,16.98435
intel-Desktop,G3_circuit,14.06475,17.31035,15.51735,17.655749999999998,16.1582,16.06955,11.69595,13.90275
intel-Desktop,G55,72.55375000000001,69.862,74.28665000000001,70.47765,75.54275,60.84275,69.0643,57.3022
intel-Desktop,G56,74.27199999999999,70.43440000000001,71.8323,68.21979999999999,73.82225,62.729200000000006,71.60464999999999,56.2976
intel-Desktop,G57,131.9335,159.5155,142.3855,161.2905,153.5215,156.1845,157.9955,166.724
intel-Desktop,G58,107.897,97.49855,106.3445,94.10965,112.38,85.17394999999999,84.96625,72.82585
intel-Desktop,G59,102.8715,100.054,104.967,91.4892,102.51,86.9409,82.60825,73.59200000000001
intel-Desktop,G60,68.89975000000001,64.06405000000001,68.28775,62.06115,70.16329999999999,60.1626,65.37295,53.1205
intel-Desktop,G61,67.24425,64.32155,69.0043,65.3143,70.83525,61.5852,67.0995,53.3112
intel-Desktop,G62,129.33499999999998,148.03050000000002,131.8945,151.58350000000002,145.8185,146.591,144.402,146.3145
intel-Desktop,G63,101.7895,91.39565,100.409,86.8414,101.696,79.21735000000001,81.07175000000001,69.63415
intel-Desktop,G64,94.27125,92.785,96.2384,87.10714999999999,101.703,63.75255,82.2716,67.12875
intel-Desktop,G65,128.2235,153.0355,137.3265,148.752,151.4155,142.853,134.1325,140.075
intel-Desktop,G66,94.5095,141.425,133.339,147.24849999999998,145.4905,141.8,133.256,118.6045
intel-Desktop,G67,122.687,54.593,137.51,145.827,147.3235,139.4525,129.5795,133.462
intel-Desktop,G_n_pin_pout,11.07385,11.3251,12.146,12.6614,14.00915,10.32285,10.49845,13.74675
intel-Desktop,Ga10As10H30,45.26955,59.76705,66.91069999999999,53.80525,92.2301,54.6055,42.32455,65.95935
intel-Desktop,Ga19As19H42,47.82485,67.65835,64.94210000000001,58.9262,104.878,64.1678,49.02455,59.6717
intel-Desktop,Ga3As3H12,60.3637,68.2808,69.32835,59.57285,63.05115,60.91615,61.1999,55.15695
intel-Desktop,Ga41As41H72,52.47515,63.0654,56.42955,56.87165,90.9238,53.1271,41.11525,46.48975
intel-Desktop,GaAsH6,71.2972,81.24445,99.90785,72.0857,99.80655,66.89689999999999,57.448800000000006,73.86914999999999
intel-Desktop,Ge87H76,60.44315,71.21709999999999,69.9181,67.13295,105.673,65.8058,54.9312,65.15615
intel-Desktop,Ge99H100,64.1138,80.22105,76.7909,65.16480000000001,112.0585,66.8754,55.3885,68.6168
intel-Desktop,Geo_1438,68.63149999999999,75.5728,69.11135,78.47184999999999,87.3479,87.98395,75.2844,63.4811
intel-Desktop,H2O,38.0398,53.53715,57.99395,41.7424,62.8639,43.73725,33.9049,63.18055
intel-Desktop,HTC_336_4438,13.05645,12.1239,15.2255,12.84125,11.3238,11.38655,11.5387,10.715
intel-Desktop,HTC_336_9129,12.96445,12.08945,14.84925,12.32275,11.2861,10.9746,11.35825,11.10945
intel-Desktop,Hardesty1,37.1233,38.4164,43.4644,47.8343,47.4828,47.7166,33.2992,24.7239
intel-Desktop,Hook_1498,61.3954,74.32825,81.72745,76.08314999999999,80.49745,78.45439999999999,72.38775000000001,70.07955
intel-Desktop,JapaneseVowelsSmall_10NN,176.219,146.4565,208.175,157.8365,197.3795,,145.73149999999998,132.44400000000002
intel-Desktop,Kuu,243.0765,245.893,240.5535,247.5195,244.5435,238.668,247.5075,244.8195
intel-Desktop,L-9,44.7898,58.197500000000005,42.98665,53.69695,50.02585,49.56485,48.1304,49.0809
intel-Desktop,LF10000,54.49935,55.9068,50.7239,52.8992,49.57475,53.4568,54.47925,52.64125
intel-Desktop,LFAT5000,41.75775,38.5037,43.5598,40.41415000000001,42.06665,27.01745,43.98075,43.0049
intel-Desktop,Lin,16.37975,17.42145,21.8424,22.87685,20.881500000000003,23.63485,17.5719,17.03695
intel-Desktop,Long_Coup_dt0,92.6046,90.83855,98.59965,90.4341,106.463,103.2495,88.96629999999999,85.04405
intel-Desktop,Long_Coup_dt6,89.42075,89.7136,99.8977,94.6117,105.2815,103.6565,89.66919999999999,84.91499999999999
intel-Desktop,M6,19.3062,9.755245,18.29035,9.562715,8.944334999999999,9.12829,15.06565,9.311055
intel-Desktop,Muu,279.44100000000003,280.0385,272.254,278.69050000000004,273.3035,260.935,282.2705,225.709
intel-Desktop,NACA0015,19.0004,9.71568,18.8603,10.23435,9.199635,9.319315,17.1348,8.83776
intel-Desktop,NLR,18.87905,9.33966,18.4978,9.424075,9.13375,9.24231,14.99105,8.88365
intel-Desktop,Na5,173.793,192.025,209.1485,189.6155,145.4505,166.70350000000002,166.8155,196.9415
intel-Desktop,OPF_10000,48.2937,42.814800000000005,48.3331,43.1103,40.4459,40.6484,38.12885,38.48255
intel-Desktop,OPF_3754,174.887,158.116,148.2305,184.4895,163.995,200.1605,195.911,164.849
intel-Desktop,OPF_6000,52.934250000000006,48.81375,54.656400000000005,47.5249,44.8678,46.75495,45.6365,45.6618
intel-Desktop,Oregon-1,72.40344999999999,66.8528,55.6848,64.788,63.9195,64.56805,66.09645,55.826800000000006
intel-Desktop,Oregon-2,90.54305,84.60925,91.2445,82.5292,75.4038,74.1585,78.35145,57.4688
intel-Desktop,PFlow_742,64.62729999999999,84.57544999999999,97.89835,111.4215,119.458,108.3335,111.4985,114.261
intel-Desktop,PGPgiantcompo,115.704,127.85,125.5415,126.128,138.15449999999998,109.3435,110.0355,62.485
intel-Desktop,Pres_Poisson,253.3545,234.5895,241.74,235.5065,230.9875,233.7305,258.8895,234.1945
intel-Desktop,Queen_4147,105.1665,115.7995,116.42,110.3905,135.17450000000002,131.948,107.906,107.6135
intel-Desktop,Reuters911,94.13085,98.6861,,98.93695,92.4402,97.83765,85.3446,93.70835
intel-Desktop,Serena,77.52484999999999,75.8897,79.54625,77.74595,81.53005,79.0198,73.70945,76.1753
intel-Desktop,Si10H16,138.88299999999998,176.3895,186.254,188.273,190.3835,,121.6855,167.87900000000002
intel-Desktop,Si34H36,52.83725,62.880300000000005,60.92995,54.6891,92.5558,56.5951,44.6724,62.85795
intel-Desktop,Si41Ge41H72,58.18075,70.14515,72.652,66.38495,113.4785,62.1325,52.36055,55.6329
intel-Desktop,Si5H12,135.232,173.191,173.23700000000002,177.4485,132.53250000000003,115.9945,123.317,166.979
intel-Desktop,Si87H76,33.7184,40.82195,45.53565,38.4478,60.89755,38.23575,24.8726,35.59395
intel-Desktop,SiH4,175.598,200.4355,177.272,204.8725,201.1925,,145.163,208.041
intel-Desktop,SiNa,153.7755,199.952,187.702,199.2835,185.5675,135.861,123.6635,202.5205
intel-Desktop,SiO,92.67125,116.7145,110.0355,99.5483,118.169,105.24,81.1799,109.457
intel-Desktop,SiO2,59.2792,63.99945,71.72120000000001,64.78125,60.04165,66.85775000000001,46.1536,60.80915
intel-Desktop,StocF-1465,25.3042,26.11915,27.5121,32.8739,34.5858,34.64855,28.5991,28.3215
intel-Desktop,TEM152078,75.8389,86.85325,83.294,93.6536,100.209,83.4405,76.31035,89.03875
intel-Desktop,TEM181302,73.10765,91.6491,84.7808,90.44655,84.0205,77.89585,69.25995,86.95394999999999
intel-Desktop,TEM27623,70.6001,72.8532,78.93520000000001,79.7037,78.8047,77.9291,73.65035,70.58670000000001
intel-Desktop,TSC_OPF_1047,61.8377,85.3894,86.0255,90.024,83.699,75.2465,62.8127,84.66555
intel-Desktop,TSC_OPF_300,95.04665,117.7395,102.0505,165.749,154.099,101.9255,140.836,128.736
intel-Desktop,TSOPF_FS_b162_c1,99.2351,92.9026,103.3405,97.09475,104.036,72.19444999999999,130.729,89.3966
intel-Desktop,TSOPF_FS_b162_c3,69.16245,90.55415,94.0902,100.966,65.41995,90.3535,72.97455,91.656
intel-Desktop,TSOPF_FS_b162_c4,75.46584999999999,87.22455,66.74674999999999,91.94515,61.7488,71.62975,81.91730000000001,76.1409
intel-Desktop,TSOPF_FS_b300,91.48335,88.1263,95.8615,114.0005,99.34125,72.1917,66.0981,95.1222
intel-Desktop,TSOPF_FS_b300_c1,86.93055000000001,93.37505,73.37180000000001,113.283,71.4985,75.82785,77.3172,85.25845
intel-Desktop,TSOPF_FS_b300_c2,67.90455,65.90615,,88.5798,77.88544999999999,63.8229,72.39955,83.46690000000001
intel-Desktop,TSOPF_FS_b300_c3,55.7939,55.835,,70.86725,51.8384,46.08935,54.71135,60.80865
intel-Desktop,TSOPF_FS_b39_c19,39.0218,35.1076,,44.0508,48.04185,31.318,34.8421,40.83705
intel-Desktop,TSOPF_FS_b39_c30,32.70825,29.5372,,36.53305,36.39465,23.18605,31.869,33.0731
intel-Desktop,TSOPF_FS_b39_c7,81.93885,65.22460000000001,61.6233,111.595,85.4651,77.65935,71.737,72.48055
intel-Desktop,TSOPF_FS_b9_c6,61.78530000000001,95.67205,64.537,93.9341,75.75235,61.77595,67.61285000000001,73.31540000000001
intel-Desktop,Trefethen_20000,152.5965,157.7295,127.519,153.054,165.6565,81.07135,137.2245,131.96499999999995
intel-Desktop,Trefethen_20000b,135.434,158.757,123.6755,143.656,158.08249999999998,82.84585,139.4685,141.0695
intel-Desktop,a0nsdsil,14.9435,15.00965,14.5997,14.2625,13.07415,12.1937,12.02015,11.2083
intel-Desktop,a2nnsnsl,14.61155,15.2057,14.16225,14.6011,11.20495,10.1909,11.96465,11.1825
intel-Desktop,a5esindl,15.60055,15.73645,13.38395,16.07,13.6279,12.8419,12.34065,12.8733
intel-Desktop,adaptive,13.515350000000002,11.28165,14.18795,11.064050000000002,10.8149,10.8078,12.64,11.38725
intel-Desktop,af_0_k101,92.5635,81.35759999999999,88.87465,110.6505,119.766,115.068,88.4735,90.1437
intel-Desktop,af_1_k101,93.0811,81.16915,86.73265,110.823,117.746,114.2855,91.13865,91.59475
intel-Desktop,af_2_k101,91.308,80.65265,90.70625,110.767,117.6855,118.7305,87.84825000000001,89.5146
intel-Desktop,af_3_k101,89.84145000000001,81.66955,89.5826,108.785,118.013,114.6735,91.0928,88.49045000000001
intel-Desktop,af_4_k101,93.5651,83.97945,87.79075,111.695,118.678,118.7525,87.44815,87.30510000000001
intel-Desktop,af_5_k101,92.71785,83.41714999999999,87.66329999999999,110.323,116.6435,114.302,91.04005,88.17195000000001
intel-Desktop,af_shell1,94.8688,113.582,87.9405,116.6885,116.886,117.142,87.9027,86.06905
intel-Desktop,af_shell10,91.87305,78.7354,96.3729,105.7815,109.882,107.715,84.81465,84.14375000000001
intel-Desktop,af_shell2,97.2141,112.953,91.4743,118.5895,117.3755,111.8625,89.02475000000001,83.9937
intel-Desktop,af_shell3,94.3303,117.0785,92.72595,119.044,117.958,116.119,85.71005,87.5171
intel-Desktop,af_shell4,98.6057,112.685,88.5458,116.349,116.0635,117.9965,85.99799999999999,86.4049
intel-Desktop,af_shell5,99.08875,110.2205,92.3328,118.6365,116.6475,114.3275,86.5215,85.17455000000001
intel-Desktop,af_shell6,98.74335,114.5175,89.373,113.929,120.1145,117.8445,85.96809999999999,90.07485
intel-Desktop,af_shell7,91.9048,114.067,95.5176,118.4985,117.417,112.6315,84.48304999999999,91.2076
intel-Desktop,af_shell8,94.3826,114.3325,89.75175,118.42,115.968,114.71,89.65625,89.37819999999999
intel-Desktop,af_shell9,94.8437,115.606,87.7399,120.0445,120.6635,114.831,83.15780000000001,85.05994999999999
intel-Desktop,aft01,236.402,283.6275,276.4,278.963,278.9605,,276.6975,291.562
intel-Desktop,airfoil1_dual,102.86,117.217,101.503,120.561,121.5725,112.105,96.88075,113.246
intel-Desktop,ak2010,20.267,18.092350000000003,20.8378,19.5575,18.353050000000003,18.3535,18.206000000000003,16.51215
intel-Desktop,al2010,16.48475,13.2618,16.4918,15.94325,13.47925,13.7045,13.66045,10.5242
intel-Desktop,analytics,15.9552,13.77645,16.21195,14.13715,14.04525,13.2941,14.3546,13.80725
intel-Desktop,apache1,19.13535,22.68805,23.56975,24.75595,26.1113,25.1817,21.55165,18.65935
intel-Desktop,apache2,16.47935,22.2396,20.44165,24.3745,24.1153,23.88485,16.30325,14.21435
intel-Desktop,ar2010,16.0556,15.0412,16.18965,16.47285,16.1757,15.5165,13.85375,12.27645
intel-Desktop,as-22july06,28.4645,27.5465,30.94445,30.8576,30.4019,27.27285,30.4474,29.76305
intel-Desktop,as-735,67.36189999999999,69.13355000000001,69.52285,63.6781,63.2971,60.8278,56.5398,63.34275
intel-Desktop,as-Skitter,21.4888,15.52345,,16.224800000000002,14.92805,14.04765,13.38775,13.805
intel-Desktop,asia_osm,8.690895,8.567620000000002,8.406275,8.437404999999998,8.377234999999999,8.37083,7.2668,8.336815
intel-Desktop,astro-ph,153.637,124.5355,140.7535,127.5035,139.009,108.8325,131.33350000000002,93.86555
intel-Desktop,audikw_1,98.68495,92.7749,119.76,99.21225,94.60365,86.74115,116.7775,88.94335000000001
intel-Desktop,aug2d,15.84425,16.53585,16.7927,17.1286,17.122149999999998,16.95265,14.85555,14.89235
intel-Desktop,aug2dc,15.0474,16.3975,16.1475,16.0669,15.47945,15.8889,13.39705,14.59745
intel-Desktop,aug3d,19.15515,19.83105,18.8414,21.92685,20.81885,20.47835,17.73825,19.01175
intel-Desktop,aug3dcqp,17.1192,15.3226,17.675849999999997,16.368499999999997,15.8812,16.5169,15.7074,15.9453
intel-Desktop,auto,26.5335,13.2467,32.58045,14.35525,16.30895,15.9056,29.23945,10.7769
intel-Desktop,az2010,15.83995,11.70285,17.13325,16.12795,12.251,12.40025,13.67165,8.266874999999999
intel-Desktop,barth,114.9975,126.392,117.951,114.7825,140.62,136.26850000000002,131.1715,57.4363
intel-Desktop,barth4,137.41250000000002,149.4325,138.57549999999998,160.81400000000002,160.2985,159.508,119.569,133.457
intel-Desktop,barth5,82.65045,78.45060000000001,78.5869,71.5728,78.1335,97.56135,76.8208,75.61824999999999
intel-Desktop,bcspwr10,142.6205,136.98250000000002,138.642,141.386,153.4495,147.6095,114.7165,66.3247
intel-Desktop,bcsstk17,248.259,246.9975,243.2845,250.4605,248.524,246.814,245.5495,244.7025
intel-Desktop,bcsstk18,203.9615,207.2645,241.4565,226.032,232.5485,222.1315,214.0495,219.0435
intel-Desktop,bcsstk25,190.1155,209.274,236.3845,209.5765,238.376,216.727,211.976,220.129
intel-Desktop,bcsstk29,246.3795,244.199,241.4515,240.764,243.946,241.4755,240.963,238.8875
intel-Desktop,bcsstk30,205.027,207.944,198.871,199.793,201.661,206.371,201.635,200.91
intel-Desktop,bcsstk31,114.633,123.863,118.3825,118.0245,119.8365,127.1645,102.138,106.2105
intel-Desktop,bcsstk32,135.078,141.574,127.883,153.13150000000002,146.5125,139.197,125.644,144.8305
intel-Desktop,bcsstk33,220.1285,220.9995,216.8545,222.6795,216.03,216.5985,216.8295,222.726
intel-Desktop,bcsstk35,169.284,176.8155,169.753,183.2075,183.578,,177.353,178.55599999999998
intel-Desktop,bcsstk36,215.5325,214.0995,206.8435,204.072,212.5935,217.14550000000003,206.74,212.739
intel-Desktop,bcsstk37,192.9235,192.8895,189.78250000000003,181.459,189.4425,184.0175,180.281,183.0225
intel-Desktop,bcsstk38,239.23450000000005,238.1585,238.702,245.019,245.2005,241.35,234.4455,242.0855
intel-Desktop,bcsstk39,141.43099999999998,136.8265,130.4595,141.02300000000002,152.9035,152.583,125.7285,135.68
intel-Desktop,bcsstm25,27.54325,,24.59045,22.79055,33.786550000000005,31.02725,22.118,27.669600000000003
intel-Desktop,bcsstm35,7.45052,5.355855,5.2270900000000005,5.417225,5.04061,4.946325,7.227025,4.95615
intel-Desktop,bcsstm36,145.025,140.2005,138.803,139.9425,141.52100000000002,154.6765,151.486,92.1058
intel-Desktop,bcsstm37,9.15698,5.52489,5.84799,5.679180000000001,5.403815,4.76276,9.532565,5.273490000000001
intel-Desktop,bcsstm38,66.10915,57.253150000000005,60.7681,58.52825,58.0687,59.72765,65.42595,55.7943
intel-Desktop,bcsstm39,5.167955,,5.137435,4.905855000000001,5.126495,5.27989,5.250885,4.955015
intel-Desktop,belgium_osm,8.699465,8.44236,8.130205,8.63729,8.182690000000001,7.97938,6.563605,8.13581
intel-Desktop,benzene,162.472,201.9175,190.3655,203.38,188.23,118.3695,162.8775,198.7485
intel-Desktop,bfly,15.0183,14.72905,16.604599999999998,14.8526,16.2436,14.3159,13.17995,14.01735
intel-Desktop,big_dual,16.461199999999998,17.1462,16.60785,17.2877,18.29145,,14.0103,16.033
intel-Desktop,biplane-9,29.4239,35.98615,33.5977,33.447500000000005,34.234350000000006,,29.18305,32.7054
intel-Desktop,blockqp1,23.1194,20.358400000000003,22.55,22.7057,21.555,19.09945,24.2409,21.2708
intel-Desktop,bloweya,25.971,24.9183,23.13265,25.89995,24.38065,23.87175,25.9083,26.82515
intel-Desktop,bloweybl,19.02355,22.17415,19.5837,19.69625,19.42165,18.86495,20.1032,19.52505
intel-Desktop,bloweybq,46.231300000000005,78.86565,64.47200000000001,49.610600000000005,47.788700000000006,,50.74855,49.941
intel-Desktop,bmw3_2,129.482,122.23,118.867,136.7405,131.187,131.412,105.9965,115.774
