machine,matrix_name,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
athena.skylake,aug3dcqp,45.6181,45.2763,46.2128,46.6669,47.1998,45.9027,43.51,32.8859
athena.skylake,auto,44.0842,28.6887,60.2551,27.9396,38.4729,39.4498,50.0629,16.6722
athena.skylake,az2010,30.8466,24.426,33.0353,32.8063,29.0156,28.9608,26.3803,18.5298
athena.skylake,barth,91.3461,99.0109,99.9003,100.461,100.928,99.8365,101.291,75.6007
athena.skylake,barth4,21.9945,97.3443,30.142,93.6111,22.6109,98.6688,97.5502,94.3338
athena.skylake,barth5,96.7235,98.3405,99.3919,95.3269,99.5925,98.3997,99.7318,97.7532
athena.skylake,bcspwr10,97.2801,99.8368,103.106,101.824,102.742,98.4631,101.793,82.2929
athena.skylake,bcsstk17,171.895,182.16,194.037,195.28,192.929,180.62,188.233,185.094
athena.skylake,bcsstk18,119.324,156.86,140.927,159.442,165.597,159.074,148.637,166.548
athena.skylake,bcsstk25,121.803,177.68,174.371,174.477,180.71,178.208,189.481,189.729
athena.skylake,bcsstk29,190.02,197.293,203.855,194.313,208.058,203.144,207.832,203.958
athena.skylake,bcsstk30,143.986,166.162,166.567,169.598,174.152,172.591,169.287,167.595
athena.skylake,bcsstk31,120.088,138.331,133.596,136.265,129.892,134.939,130.89,135.14
athena.skylake,bcsstk32,137.653,142.084,141.048,144.911,150.766,151.657,145.442,131.942
athena.skylake,bcsstk33,197.513,211.774,202.799,212.403,209.321,200.589,206.905,211.397
athena.skylake,bcsstk35,154.702,169.943,159.501,168.646,166.947,,157.177,170.542
athena.skylake,bcsstk36,172.821,172.542,178.306,180.159,186.782,183.673,175.641,180.74
athena.skylake,bcsstk37,160.782,163.675,168.857,166.977,166.026,162.872,163.94,165.18
athena.skylake,bcsstk38,160.514,199.22,191.472,200.639,206.66,192.937,197.08,196.228
athena.skylake,bcsstk39,150.334,150.765,158.215,157.936,155.477,157.972,153.01,157.432
athena.skylake,bcsstm25,26.948,,26.1438,26.8588,26.2359,26.7279,26.8565,26.4061
athena.skylake,bcsstm35,19.7139,19.5273,31.4732,31.4874,30.2463,29.497,26.0912,31.2546
athena.skylake,bcsstm36,96.2766,105.415,165.624,95.4596,125.86,103.976,96.1228,165.641
athena.skylake,bcsstm37,27.7662,22.0054,27.7659,27.7083,22.4233,26.9075,26.9936,27.5256
athena.skylake,bcsstm38,36.948,30.9402,46.7129,45.2459,48.1239,46.2746,40.4655,45.4937
athena.skylake,bcsstm39,17.264,,17.931,17.5547,17.6109,17.4653,17.5985,17.7022
athena.skylake,belgium_osm,17.2005,17.3983,16.8662,17.4151,16.2213,16.476,14.3347,15.4771
athena.skylake,benzene,169.454,179.548,173.578,168.468,178.996,166.9,173.261,173.104
athena.skylake,bfly,33.5767,35.5311,38.4408,34.1331,35.4682,35.292,30.1554,30.791
athena.skylake,big_dual,53.0811,58.9044,55.6631,52.8863,54.5607,,52.6709,59.4553
athena.skylake,biplane-9,85.8404,92.0251,88.9043,87.8817,92.5136,,88.3289,87.9593
athena.skylake,blockqp1,9.99309,9.79375,12.103,26.9166,19.3605,25.561,16.0372,8.98727
athena.skylake,bloweya,40.1747,43.2618,48.3516,45.9488,43.611,42.9503,32.1558,45.5674
athena.skylake,bloweybl,31.7963,40.7051,40.5374,34.2855,36.4567,26.114,39.3848,36.7652
athena.skylake,bloweybq,55.946,54.0842,55.7207,55.2393,48.4976,,52.2234,56.0309
athena.skylake,bmw3_2,139.993,139.901,136.547,147.05,147.51,147.239,135.202,138.514
athena.skylake,bmw7st_1,144.413,144.784,145.079,148.342,149.999,150.727,139.376,142.435
athena.skylake,bmwcra_1,143.365,155.585,146.502,157.714,158.321,158.897,146.698,154.524
athena.skylake,bodyy4,121.041,149.889,129.489,132.226,152.77,151.341,140.462,137.564
athena.skylake,bodyy5,122.14,124.885,122.128,124.129,126.675,,131.422,130.793
athena.skylake,bodyy6,122.1,80.4919,123.149,86.5809,125.746,126.319,97.07,114.442
athena.skylake,bone010,134.39,144.843,135.128,141.897,150.169,149.201,141.925,130.711
athena.skylake,boneS01,123.233,152.486,146.126,154.866,150.346,150.147,137.608,140.308
athena.skylake,boneS10,132.14,146.472,145.076,147.688,155.421,150.277,138.201,138.332
athena.skylake,boyd1,5.96076,5.66428,,10.0019,12.8639,6.01254,7.44305,5.89255
athena.skylake,boyd2,8.19583,9.91159,,11.2699,10.8782,7.89267,12.9333,9.37179
athena.skylake,brack2,57.9823,65.567,69.0418,65.5033,72.2135,70.6406,61.3392,56.8721
athena.skylake,brainpc2,24.0288,38.5884,28.341,38.6529,39.2354,29.4003,33.5664,24.9061
athena.skylake,bratu3d,65.6641,77.0751,72.0425,76.9703,69.8154,83.8896,68.5524,68.9698
athena.skylake,bundle1,26.4581,53.5908,26.7497,61.2849,180.616,,53.1653,26.1993
athena.skylake,bundle_adj,14.0307,73.6954,,75.2524,86.6778,81.962,81.7693,12.304
athena.skylake,c-29,53.3979,115.613,74.1292,85.8292,118.485,,69.6888,43.0227
athena.skylake,c-30,28.7826,58.6653,31.8615,79.5526,60.0382,,28.8535,31.3214
athena.skylake,c-31,40.5971,86.5065,77.6189,88.6327,133.701,105.828,42.0143,56.7758
athena.skylake,c-32,32.6632,42.5625,31.5651,84.183,40.207,54.1632,35.8839,33.9534
athena.skylake,c-33,34.4012,77.9808,43.3709,71.2429,125.602,,80.57,38.4025
athena.skylake,c-34,74.2206,86.561,102.016,121.792,148.146,116.87,60.4266,56.5695
athena.skylake,c-35,90.9112,137.244,143.593,132.766,153.395,,77.1018,79.2481
athena.skylake,c-36,35.7835,77.8247,41.0118,101.21,121.32,87.4405,45.5791,37.2188
athena.skylake,c-37,50.8762,74.4057,68.2794,108.717,137.688,134.826,53.3671,59.6125
athena.skylake,c-38,78.0864,129.179,148.205,133.614,138.466,151.3,57.9634,66.3448
athena.skylake,c-39,34.1271,62.855,48.2371,52.5493,57.3977,49.3208,55.424,39.572
athena.skylake,c-40,39.1061,83.4441,42.1698,64.8992,96.9374,,52.0854,35.1264
athena.skylake,c-41,75.6678,150.51,136.43,143.109,137.25,,58.7857,55.1574
athena.skylake,c-42,39.8311,99.6621,95.1223,81.2934,146.661,93.2193,37.6988,57.2192
athena.skylake,c-43,28.4953,70.8651,35.6293,41.5031,82.9088,,38.9683,26.6936
athena.skylake,c-44,49.7452,126.402,82.4511,102.212,116.963,123.256,53.5481,48.2721
athena.skylake,c-45,28.0558,58.3523,28.6936,51.6434,103.717,55.0245,41.1588,29.1523
athena.skylake,c-46,31.8672,97.9264,36.6608,65.7864,127.586,,37.5317,31.8982
athena.skylake,c-47,30.0137,62.4346,39.0966,94.086,112.926,143.233,47.3665,31.8817
