k_bin,nth,pearson_yax_cg,pearson_xyp_cg,subset_count_beforeNAdrop,yax_cg_subset_count,xyp_cg_subset_count
"[16777216, 33554432)",4,0.9982021460393897,0.9978855733664866,8,8,8
"[16777216, 33554432)",8,0.9982952896934352,0.9980420820442818,8,8,8
"[16777216, 33554432)",9,0.9980747415342244,0.9974694385976797,8,8,8
"[16777216, 33554432)",14,0.999031004188204,0.9990223901614741,8,8,8
"[16777216, 33554432)",15,0.9989785728971448,0.9987953742283348,8,8,8
"[16777216, 33554432)",16,0.9982392341222753,0.9985704947634086,8,8,8
"[16777216, 33554432)",17,0.999350108911225,0.9994177992557317,8,8,8
"[16777216, 33554432)",18,0.9991956416492516,0.9994409147184995,8,8,8
"[33554432, 67108864)",1,0.9999472307471196,0.9999346421358057,3,3,3
"[33554432, 67108864)",2,0.9983891819938684,0.9978134841991164,3,3,3
"[33554432, 67108864)",4,0.9964651275977678,0.996435032317066,3,3,3
"[33554432, 67108864)",8,0.999951805005497,0.9999347819108299,3,3,3
"[33554432, 67108864)",9,0.9999126326765437,0.9999867498662903,3,3,3
"[33554432, 67108864)",14,0.9998625071411341,0.9999950367285579,3,3,3
"[33554432, 67108864)",15,0.9998099450147253,0.9999967589284102,3,3,3
"[33554432, 67108864)",16,0.9999982677884016,0.9999560510259857,3,3,3
"[33554432, 67108864)",17,0.9999921764492556,0.999974387332045,3,3,3
"[33554432, 67108864)",18,0.9999435586289318,0.999935355491338,3,3,3
