matrix_name,reordering,m,k,nnz,nth,median_GFLOPS_yax_basic,median_GFLOPS_yax_flushed_basic,median_GFLOPS_yax_xyp_basic,median_GFLOPS_cg_basic_spmv,median_GFLOPS_cg_basic_all
c-18,baseline,2169,2169,15145,1,1.458795,1.5127199999999998,1.57473,1.49971,1.7739449999999999
c-18,baseline,2169,2169,15145,2,2.974775,2.93506,2.67579,2.6366750000000003,2.2890499999999996
c-18,baseline,2169,2169,15145,4,3.795,3.71873,3.56233,3.5905500000000004,2.7974949999999996
c-18,baseline,2169,2169,15145,8,4.9541699999999995,4.84948,4.44724,4.6152999999999995,2.79389
c-18,baseline,2169,2169,15145,9,5.1057500000000005,4.953725,3.344345,4.676130000000001,2.689185
c-18,baseline,2169,2169,15145,14,5.425520000000001,5.261565,4.85586,4.970000000000001,2.40428
c-18,baseline,2169,2169,15145,15,5.4784749999999995,5.327065,4.122195,5.08609,2.34477
c-18,baseline,2169,2169,15145,16,5.531465,5.520440000000001,4.877345,5.19952,2.3211199999999996
c-18,baseline,2169,2169,15145,17,5.72714,5.55139,4.95637,5.31497,2.259465
c-18,baseline,2169,2169,15145,18,5.86104,5.699590000000001,5.24558,5.515765,2.24546
tandem_vtx,baseline,18454,18454,253350,1,1.57973,1.596735,1.595205,1.442695,1.633555
tandem_vtx,baseline,18454,18454,253350,2,3.11827,3.102505,2.9273100000000003,2.659875,2.64629
tandem_vtx,baseline,18454,18454,253350,4,6.253355,6.23738,5.824975,5.33596,4.8378499999999995
tandem_vtx,baseline,18454,18454,253350,8,12.137149999999998,12.1223,11.21455,10.40815,7.637285
tandem_vtx,baseline,18454,18454,253350,9,13.6314,13.5585,12.54675,11.6376,8.192485000000001
tandem_vtx,baseline,18454,18454,253350,14,20.362949999999998,20.2486,18.53505,17.233,9.847005
tandem_vtx,baseline,18454,18454,253350,15,21.52505,21.55865,19.58985,18.4702,10.1052
tandem_vtx,baseline,18454,18454,253350,16,22.6541,22.70115,20.2652,19.0973,10.21435
tandem_vtx,baseline,18454,18454,253350,17,23.8813,23.913249999999998,21.12175,20.603450000000002,10.641549999999999
tandem_vtx,baseline,18454,18454,253350,18,24.879150000000003,24.838900000000002,22.69965,21.6547,10.7377
freeFlyingRobot_9,baseline,4778,4778,39964,1,1.965935,2.002585,2.028145,1.9228049999999999,2.156535
freeFlyingRobot_9,baseline,4778,4778,39964,2,3.810355,3.779925,3.64737,3.5136950000000002,3.04047
freeFlyingRobot_9,baseline,4778,4778,39964,4,6.095325,5.97975,5.81677,5.733895,4.369825
freeFlyingRobot_9,baseline,4778,4778,39964,8,10.0785,9.89574,8.903649999999999,9.036615,5.0331399999999995
freeFlyingRobot_9,baseline,4778,4778,39964,9,10.6197,10.4456,9.603325,9.861165,5.1008700000000005
freeFlyingRobot_9,baseline,4778,4778,39964,14,13.2453,13.2653,8.686910000000001,12.3461,4.847785
freeFlyingRobot_9,baseline,4778,4778,39964,15,14.31665,14.125350000000001,13.01325,13.343699999999998,4.91474
freeFlyingRobot_9,baseline,4778,4778,39964,16,14.16295,14.370899999999999,12.7177,13.3078,4.722175
freeFlyingRobot_9,baseline,4778,4778,39964,17,14.4708,13.9068,12.4241,13.9628,4.764234999999999
freeFlyingRobot_9,baseline,4778,4778,39964,18,14.58425,13.9127,12.858,12.837,4.620865
mycielskian18,baseline,196607,196607,300933832,1,0.385678,0.385655,0.38569050000000005,0.385633,0.3866265
mycielskian18,baseline,196607,196607,300933832,2,0.5724644999999999,0.5724695,0.5723784999999999,0.5724535,0.573928
mycielskian18,baseline,196607,196607,300933832,4,0.838257,0.838514,0.83852,0.8385265,0.8407125
mycielskian18,baseline,196607,196607,300933832,8,1.2509649999999999,1.250985,1.2512599999999998,1.250925,1.254
mycielskian18,baseline,196607,196607,300933832,9,1.288675,1.28883,1.288875,1.2889,1.2920449999999999
mycielskian18,baseline,196607,196607,300933832,14,1.6028099999999998,1.603395,1.6032449999999998,1.603415,1.607055
mycielskian18,baseline,196607,196607,300933832,15,1.68887,1.68907,1.689185,1.6896650000000002,1.6934049999999998
mycielskian18,baseline,196607,196607,300933832,16,1.8562400000000001,1.856065,1.855805,1.8567749999999998,1.8606150000000001
mycielskian18,baseline,196607,196607,300933832,17,1.874125,1.87466,1.875505,1.87567,1.8795250000000001
mycielskian18,baseline,196607,196607,300933832,18,1.9035950000000001,1.9040249999999999,1.903675,1.904205,1.908115
fe_body,baseline,45087,45087,327468,1,1.178955,1.178525,1.1628150000000002,1.0943749999999999,1.4387349999999999
fe_body,baseline,45087,45087,327468,2,2.334345,2.31596,2.32428,2.131815,2.435655
fe_body,baseline,45087,45087,327468,4,4.681395,4.668925,4.519305,4.21378,4.304235
fe_body,baseline,45087,45087,327468,8,9.14309,9.10227,8.810425,8.19585,6.80389
fe_body,baseline,45087,45087,327468,9,10.2143,10.189350000000001,9.92102,9.19306,7.2385
fe_body,baseline,45087,45087,327468,14,15.7818,15.6217,15.012550000000001,13.88665,8.810975
fe_body,baseline,45087,45087,327468,15,16.7808,16.679450000000003,15.914850000000001,15.01825,9.079165
fe_body,baseline,45087,45087,327468,16,17.89935,17.890050000000002,17.22115,16.10805,9.282620000000001
fe_body,baseline,45087,45087,327468,17,18.74225,18.5211,17.6189,16.515900000000002,9.37406
fe_body,baseline,45087,45087,327468,18,20.122300000000003,19.981299999999997,18.79635,17.98485,9.568595
NotreDame_yeast,baseline,2114,2114,4480,1,0.5166845,0.5335325,0.57155,0.5764035000000001,1.22512
NotreDame_yeast,baseline,2114,2114,4480,2,1.5431,1.57432,1.3296000000000001,1.397465,1.79563
NotreDame_yeast,baseline,2114,2114,4480,4,3.020195,3.176405,1.82819,1.99535,2.10282
NotreDame_yeast,baseline,2114,2114,4480,8,3.780535,3.652555,2.314215,3.215055,2.086795
NotreDame_yeast,baseline,2114,2114,4480,9,3.874235,3.5982849999999997,2.43668,3.1874149999999997,2.004015
NotreDame_yeast,baseline,2114,2114,4480,14,3.35143,2.999015,2.5306949999999997,2.6568300000000002,1.6514250000000001
NotreDame_yeast,baseline,2114,2114,4480,15,3.217035,2.999635,2.6144350000000003,2.7926650000000004,1.6141
NotreDame_yeast,baseline,2114,2114,4480,16,3.259695,2.807555,2.5494,2.6536299999999997,1.52843
NotreDame_yeast,baseline,2114,2114,4480,17,3.083995,2.83214,2.583635,2.544455,1.4738950000000002
NotreDame_yeast,baseline,2114,2114,4480,18,2.799065,2.68689,2.48347,2.615665,1.4516550000000001
copter1,baseline,17222,17222,211064,1,2.1136,2.1519950000000003,2.145415,2.12601,2.26953
copter1,baseline,17222,17222,211064,2,4.42232,4.35461,4.3779,4.314715,3.856155
copter1,baseline,17222,17222,211064,4,8.36047,8.431935,8.299485,8.317319999999999,6.48457
copter1,baseline,17222,17222,211064,8,16.268050000000002,16.295450000000002,16.20425,16.29705,9.50562
copter1,baseline,17222,17222,211064,9,18.3048,18.24795,18.151449999999997,18.25255,9.970105
copter1,baseline,17222,17222,211064,14,26.309,26.4625,26.0061,26.1454,11.2275
copter1,baseline,17222,17222,211064,15,27.64265,27.56405,27.63235,27.41715,11.3505
copter1,baseline,17222,17222,211064,16,28.78245,29.126350000000002,28.4638,28.7173,11.3945
copter1,baseline,17222,17222,211064,17,30.009300000000003,30.2085,29.685850000000002,30.2678,11.431899999999999
copter1,baseline,17222,17222,211064,18,31.6201,31.68215,30.560200000000002,31.408549999999998,11.5199
G41,baseline,2000,2000,23570,1,1.4735,1.48242,1.51391,1.39953,1.59483
G41,baseline,2000,2000,23570,2,2.28708,2.2648099999999998,2.22791,2.121985,2.100885
G41,baseline,2000,2000,23570,4,3.38284,3.366895,3.307305,3.230085,2.8507
G41,baseline,2000,2000,23570,8,4.61022,4.532665,4.471685,4.421545,2.99119
G41,baseline,2000,2000,23570,9,4.830665,4.738985,4.653455,4.616160000000001,2.978035
G41,baseline,2000,2000,23570,14,5.664785,5.39864,5.375125000000001,5.32438,2.80027
G41,baseline,2000,2000,23570,15,5.74254,5.48659,5.49191,5.38241,2.70728
G41,baseline,2000,2000,23570,16,5.838765,5.589245,5.577500000000001,5.5786999999999995,2.68212
G41,baseline,2000,2000,23570,17,5.94004,5.722405,5.622310000000001,5.58167,2.60152
G41,baseline,2000,2000,23570,18,6.0067,5.84651,5.80969,5.68499,2.5618800000000004
dawson5,baseline,51537,51537,1010777,1,1.962,1.964345,1.95322,1.96643,2.07803
dawson5,baseline,51537,51537,1010777,2,3.5746599999999997,3.558575,3.57224,3.5573550000000003,3.4737299999999998
dawson5,baseline,51537,51537,1010777,4,6.883645,6.883565,6.87101,6.8230450000000005,6.151540000000001
dawson5,baseline,51537,51537,1010777,8,13.7457,13.7308,13.68355,13.4348,10.3745
dawson5,baseline,51537,51537,1010777,9,15.468499999999999,15.41965,15.35825,15.02425,11.23125
dawson5,baseline,51537,51537,1010777,14,24.133499999999998,23.97795,23.87175,23.47465,14.765699999999999
dawson5,baseline,51537,51537,1010777,15,25.79665,25.7069,25.3983,25.0579,15.207
dawson5,baseline,51537,51537,1010777,16,27.471400000000003,27.212,27.0968,26.6406,15.65475
dawson5,baseline,51537,51537,1010777,17,29.1524,28.86655,28.78285,28.273600000000002,16.10985
dawson5,baseline,51537,51537,1010777,18,30.6461,30.5019,30.2223,29.795949999999998,16.619
wy2010,baseline,86204,86204,427586,1,0.7839915,0.7880985,0.787967,0.7286950000000001,1.136705
wy2010,baseline,86204,86204,427586,2,1.5689950000000001,1.5716299999999999,1.559475,1.44463,1.9730050000000001
wy2010,baseline,86204,86204,427586,4,3.145525,3.1226599999999998,3.10569,2.851515,3.50664
wy2010,baseline,86204,86204,427586,8,6.27357,6.153955,6.14706,5.718845,5.761935
wy2010,baseline,86204,86204,427586,9,7.04698,6.96513,6.94678,6.427235,6.210375
wy2010,baseline,86204,86204,427586,14,10.9589,10.8238,10.616900000000001,9.935145,7.7943999999999996
wy2010,baseline,86204,86204,427586,15,11.6633,11.5217,11.32185,10.52065,8.050395
wy2010,baseline,86204,86204,427586,16,12.40435,12.3195,11.98685,11.26005,8.23985
wy2010,baseline,86204,86204,427586,17,13.1517,12.9478,12.90315,12.000399999999999,8.488029999999998
wy2010,baseline,86204,86204,427586,18,13.94135,13.77145,13.57715,12.58165,8.626864999999999
Si10H16,baseline,17077,17077,875923,1,1.724405,1.7310349999999999,1.7325249999999999,1.713105,1.764665
Si10H16,baseline,17077,17077,875923,2,3.442905,3.4568149999999997,3.41972,3.39619,3.338775
Si10H16,baseline,17077,17077,875923,4,5.250145,5.2672349999999994,5.166415000000001,5.11908,4.983565
Si10H16,baseline,17077,17077,875923,8,9.352229999999999,9.332525,9.209019999999999,9.126645,8.393045
Si10H16,baseline,17077,17077,875923,9,9.13159,9.11262,9.0242,8.971335,8.288364999999999
Si10H16,baseline,17077,17077,875923,14,15.476849999999999,15.4423,15.13205,15.032399999999999,12.4855
Si10H16,baseline,17077,17077,875923,15,15.0165,14.963149999999999,14.7896,14.7061,12.22195
Si10H16,baseline,17077,17077,875923,16,16.29175,16.2009,15.991150000000001,15.9164,12.9114
Si10H16,baseline,17077,17077,875923,17,18.4954,18.3811,18.01995,17.90815,14.099350000000001
Si10H16,baseline,17077,17077,875923,18,18.058799999999998,17.91855,17.6925,17.64105,13.91365
GD99_b,baseline,64,64,252,1,0.476584,0.647123,0.7533215,0.696747,0.4250385
GD99_b,baseline,64,64,252,2,0.574328,0.556342,0.4600645,0.5038075,0.2581475
GD99_b,baseline,64,64,252,4,0.4757995,0.4741705,0.457804,0.443686,0.18688349999999998
GD99_b,baseline,64,64,252,8,0.32083649999999997,0.294321,0.347731,0.3138125,0.12789899999999998
GD99_b,baseline,64,64,252,9,0.309924,0.2819715,0.297558,0.2766285,0.10928
